Name,Review Count,Rating
MindFire,12,4.4
Ryzeo,16,4.6
Hey Oliver,16,4.4
Distribion,14,4.0
IntelliClick,10,3.8
InTouch CRM,16,4.1
Privy,122,4.6
Splio,10,4.3
Intempt,10,4.5
Keap,10,4.1
Rejoiner,31,4.8
Sendpilot AI,10,4.8
Touchpoint MX,12,4.2
Conversion,8,5.0
Corefactors,11,4.5
Levitate,119,4.6
Redpoint Customer Data Platform,20,4.6
Simplero,10,4.2
Telagus,7,4.3
Zoho Marketing Plus,14,4.3
Alpine IQ,11,4.7
Ambassador Software,74,4.5
Ascent360,10,4.5
Fortifi,11,4.6
Mothernode,40,4.5
Ricochet360,17,4.3
Rule,,
VipeCloud,31,4.7
Alterian Real-Time CX Platform,12,3.8
emBlue,11,4.7
Engage,5,4.9
naia (Next-Gen Automated Intelligent Assistant),5,5.0
NeuroTags,10,3.8
SalesNexus,14,4.4
SuperAGI Marketing (formerly Contlo),5,4.3
Akero,4,4.1
AutomateWoo,4,4.5
Boosterberg,5,4.9
Cinch Marketing Automation,4,5.0
Commence CRM,18,4.1
Cronberry,4,4.8
Doppler,4,4.6
Eggflow,4,4.6
Framework360,4,4.5
InfinityFlow.io,4,5.0
JUNE,4,3.8
Kevy,4,4.1
LeadLovers,4,3.6
Lemnisk,10,4.4
Nationwide Leads,4,5.0
Oncord,4,5.0
Pega Customer Decision Hub,4,4.4
SmartMessage,4,3.9
Spectrm,46,4.6
XMPie,12,4.0
Altcraft,3,4.7
BizConnector,3,4.0
BriefYourMarket.com,3,4.8
Chainlink Marketing Platform,11,3.9
DailyStory Marketing Solutions,3,4.8
Datacrush,3,4.7
EzyTise,3,5.0
FLG,4,4.3
FreeCRM,11,4.2
Go4Clients,4,3.6
Hippo,19,3.9
iCubesPro,3,4.2
Inboundio,4,2.5
Kyrios Systems,4,4.1
Lead Guerrilla,3,4.5
LeadMaster,16,4.1
Marketing Creatio,3,4.2
Markifact,3,4.7
MyGuestlist Marketing,3,4.3
NEON-dX,3,4.5
Reach,10,4.1
RetainIQ,3,4.5
Salesmate,111,4.7
Sendr,9,4.9
SpotLight,3,5.0
SPREAD,5,4.7
theMarketer,3,4.3
Truu,3,5.0
Uniserve Reach,3,3.5
Usermost,3,4.5
Webex Campaign,3,4.2
Acquigo,2,2.8
Adaptix,2,5.0
Affistash,2,4.0
Amplispot,2,4.8
Apifon,3,4.8
Automatur,2,4.3
Brandwise,2,4.5
Caperifai,2,5.0
Dashcord,3,3.8
Dittofeed,2,4.8
Dotidot,2,4.3
ELAINE,2,4.8
Frizbit,14,5.0
Honestly,2,3.8
Incomaker,2,5.0
Infunnel,2,4.3
Jacquard,25,4.4
Jellyreach,2,3.5
Kiliba,2,4.0
Liana®Cloud Marketing Automation,2,4.0
Marketing Optimizer,2,5.0
Marsello,31,4.4
MSP-IT Advantage Program,5,3.7
Paminga,2,5.0
Plezi,2,4.8
Pyze Growth Intelligence®,3,5.0
RocketLevel,2,4.0
Salesfire,4,4.8
SERPLUX,2,4.8
Spotler Activate,15,4.5
the quantic factory,2,4.3
Vibetrace,2,5.0
WebToffee - eCommerce Marketing Automation,2,4.8
ZEPIC,2,4.5
Zixflow,2,5.0
7engage,1,5.0
90degree Team Task,3,3.7
Adlarion,1,4.0
Apteco PeopleStage,1,5.0
Axtria CustomerIQ,2,4.0
Batch,41,4.6
Beschannels SCRM,1,2.5
Blendee,1,4.0
CamBuildr,1,5.0
CAS genesisWorld,4,3.5
Centripe,1,4.0
Conversion Blitz,1,4.0
CONVERTIFIED Marketing Automation Platform,1,5.0
Cynthia AI by OmniEngage,1,4.0
DemandFlow,1,5.0
Dialytica,1,5.0
Digital Marketing,1,5.0
DreamCampaigns,1,3.5
DriveMetaData (DMD),1,4.0
Dynosend,1,4.5
Elite360,1,2.5
Enalito,1,4.0
erxes,2,4.3
Evalanche,1,5.0
Factoreal,2,5.0
Friday Force,1,5.0
GoZone Wifi,1,5.0
GPTFunnels.AI,1,5.0
Inbound Marketing,1,5.0
Indition CRA,1,4.5
Infor Omni-Channel Campaign Management,1,4.0
iPresso,1,4.5
itracMarketer,1,5.0
Jobin.cloud,3,4.3
MacroStack,1,4.0
Markate,3,4.8
MarketezeAI,1,4.0
Marketing Automation,1,3.0
MarketingOne,1,4.5
MarketWide,1,5.0
Marqait AI,2,4.5
Martech Stack,1,3.0
next4biz CRM,2,2.5
NextUser,1,5.0
OptCulture,1,5.0
OptiKPI,3,4.7
PingProspect,1,4.5
Pipz,1,5.0
PRO Elite+ Plan,1,5.0
ProFromGo Internet Marketing,1,4.5
Promio,1,4.5
Q:chi ) Harmoni,1,5.0
Qnvert Marketing Cloud,1,5.0
Related Digital Customer Journey Manager,1,4.5
Repro,3,3.3
ResultBull,1,5.0
SalesAutoPilot,1,4.5
SendCloud,1,4.5
Simbel AI,1,5.0
SmartFirm,1,5.0
Structure Pie,1,4.5
Tanganica.com,1,5.0
TorkeHub,2,4.8
Touchdown,1,4.5
Treasure Data Customer Data Platform,164,4.5
Trustisto,1,4.0
Ubiquity Engage,1,4.0
UMarket,1,2.5
Unim,1,2.0
VelocityEngine GTM Campaign Builder,1,4.5
WDC Studio | Marketing Automation,1,4.5
Wired Plus,1,3.5
X2CRM,1,4.0
XME | Exela Marketing Execution,1,3.5
Zence Marketing Automation,1,2.0
Zoy - Marketing on Autopilot,1,5.0
Aadow,,
Acoustic Connect,2,4.0
Checkout Champ,11,4.9
ClientCircle,2,4.0
Datarati,,
Easify App,,
eMailBase,2,4.5
EQUP,2,4.5
FabFunnel: Lead Gen Software & Multi-Channel Ad Automation,,
Gold-Vision,5,4.0
InboundCycle,,
Insertr: Marketing Automation,,
ItsBot,,
Jade Wolf Marketing,,
kling.to,,
kutoma,,
LeadMetrics,,
LeadRapid,,
MailChimp Odoo Integration,,
Mana,,
Marketing Titan,,
Marqeable,,
Meetzy,,
MeridianLink Engage,,
MIA,,
Motimatic,,
Neolemon,,
Netcapz,1,5.0
NEXTLEADCRM,2,5.0
OptifiNow,1,3.0
Paddle CRM,1,2.5
Pepper Cloud,3,4.0
Pocial,,
PoshListings,,
Pragma (formerly Logisy),1,5.0
Rapitek CRM,,
Revenue Automation,1,0.0
SAAS First,2,5.0
SalesExec,19,4.6
SalesNOW,2,4.0
SalesSeek,2,2.3
Shortway,,
Smarketing Cloud,1,4.5
SMART Marketing,1,5.0
Sun Bear All-in-One,1,5.0
SureThinks,,
TALK-to-TASKS,,
Venntive,1,4.5
Vertex Growth,,
ZOE Cadence,1,5.0
